"n","k","balance","dist","var_type","power_anova","power_welch","power_kw","eta_min","eta_max","acceptance_rate"
6,5,"balanced","negbin","homogeneous",0.5611,NA,0.3286,0.280048014195501,0.367508561643836,0.0533657797274076
8,5,"balanced","negbin","homogeneous",1,NA,0.7318,0.280049131426566,0.367502594675485,0.0166878324007616
10,5,"balanced","negbin","homogeneous",0.5099,0.3984,0.4667,0,0.367476412536602,0.005099
5,8,"balanced","negbin","homogeneous",0.2272,NA,0.1675,0.280044717719397,0.367495098298977,0.0946279701354126
6,8,"balanced","negbin","homogeneous",0.9502,NA,0.3883,0.280044982391761,0.367454750151554,0.044475874062115
8,8,"balanced","negbin","homogeneous",0.8866,NA,0.6735,0,0.367502726281352,0.008866
10,8,"balanced","negbin","homogeneous",0.1714,0.1332,0.1572,0,0.367308464938035,0.001714
5,3,"unbalanced","negbin","homogeneous",0,NA,0.1229,0.280052264808362,0.367506117455139,0.0757093970503619
6,3,"unbalanced","negbin","homogeneous",0.3205,NA,0.2989,0.280043835000562,0.367507820646507,0.0502260170768458
8,3,"unbalanced","negbin","homogeneous",1,NA,0.7303,0.280052264808362,0.367490892178901,0.0227991938205065
10,3,"unbalanced","negbin","homogeneous",0.9688,NA,0.8912,0,0.367484988283538,0.009688
5,5,"unbalanced","negbin","homogeneous",0.0223,NA,0.1193,0.280049773419508,0.367503275879448,0.0899078444594291
6,5,"unbalanced","negbin","homogeneous",0.5714,NA,0.3334,0.280060882800609,0.367509597408892,0.0524273880675265
8,5,"unbalanced","negbin","homogeneous",1,NA,0.7308,0.280044867652617,0.367483807008394,0.0165078610434289
10,5,"unbalanced","negbin","homogeneous",0.5037,0.3927,0.4558,0,0.367439144029897,0.005037
5,8,"unbalanced","negbin","homogeneous",0.2248,NA,0.165,0.280043083551316,0.367488329220065,0.0938782024201801
6,8,"unbalanced","negbin","homogeneous",0.9446,NA,0.4047,0.28004410683656,0.367443555735547,0.0452057085768791
8,8,"unbalanced","negbin","homogeneous",0.8909,NA,0.6781,0,0.367442930390513,0.008909
10,8,"unbalanced","negbin","homogeneous",0.1707,0.1352,0.1582,0,0.367452582062098,0.001707
5,3,"balanced","normal","heterogeneous",0,0.1292,0.0791,0.280055187557644,0.367496450502799,0.135793919148301
6,3,"balanced","normal","heterogeneous",0.3877,0.3473,0.2595,0.280063120429634,0.36749186220451,0.133671968988103
8,3,"balanced","normal","heterogeneous",1,0.8086,0.8343,0.280046175071429,0.367507133781336,0.122177695239957
10,3,"balanced","normal","heterogeneous",1,0.9875,0.9818,0.280046305450673,0.367511466207562,0.112017205842817
5,5,"balanced","normal","heterogeneous",0.0304,0.2243,0.0854,0.280068300843788,0.367509956894104,0.195038227492589
6,5,"balanced","normal","heterogeneous",0.642,0.4407,0.4139,0.2800460644036,0.367506925340303,0.183658102077173
8,5,"balanced","normal","heterogeneous",1,0.8837,0.9359,0.280045625336703,0.367509799928604,0.154552339149653
10,5,"balanced","normal","heterogeneous",1,0.9906,0.9969,0.280052012266847,0.367511374865983,0.125093820365274
5,8,"balanced","normal","heterogeneous",0.3132,0.3319,0.1745,0.280044527683386,0.367509147445898,0.255676007363469
6,8,"balanced","normal","heterogeneous",0.9641,0.6066,0.6361,0.280046173394963,0.367472758473171,0.227319224386806
8,8,"balanced","normal","heterogeneous",1,0.9625,0.9906,0.280046235785226,0.367508116998477,0.167734576805663
10,8,"balanced","normal","heterogeneous",1,0.9988,0.9998,0.280043972406166,0.367497577331084,0.115886940700652
5,3,"unbalanced","normal","heterogeneous",0,0.2219,0.0682,0.280048718822156,0.367498863222269,0.12986507019207
6,3,"unbalanced","normal","heterogeneous",0.3832,0.4285,0.2996,0.280043406832355,0.367492679870814,0.125434316320259
8,3,"unbalanced","normal","heterogeneous",1,0.8784,0.8774,0.280045663958561,0.367487565358008,0.113853720739594
10,3,"unbalanced","normal","heterogeneous",1,0.9982,0.9881,0.280048582724463,0.367506170874268,0.0998731610854215
5,5,"unbalanced","normal","heterogeneous",0.0324,0.2484,0.085,0.280049074454459,0.367510359720662,0.184610840348545
6,5,"unbalanced","normal","heterogeneous",0.6369,0.4787,0.4321,0.280045158323563,0.367474944085351,0.173241169031409
8,5,"unbalanced","normal","heterogeneous",1,0.9071,0.9479,0.280043125373306,0.367471622578132,0.14145071856965
10,5,"unbalanced","normal","heterogeneous",1,0.9933,0.9974,0.28005045889881,0.367500028486982,0.114213922677174
5,8,"unbalanced","normal","heterogeneous",0.3092,0.3704,0.1839,0.280043835194027,0.367505494706294,0.244391221467325
6,8,"unbalanced","normal","heterogeneous",0.962,0.6256,0.6592,0.280044052526639,0.367460736704088,0.218388294387421
8,8,"unbalanced","normal","heterogeneous",1,0.9662,0.9872,0.280047911870296,0.367498037461578,0.159721445798527
10,8,"unbalanced","normal","heterogeneous",1,0.9991,0.9998,0.280046952588743,0.367507512333364,0.111333778668448
5,3,"balanced","exponential","heterogeneous",0,0.2124,0.4327,0.28004607263993,0.367502380518799,0.186901913875598
6,3,"balanced","exponential","heterogeneous",0.4624,0.4846,0.7348,0.280062280360798,0.36751145666928,0.211954217888936
8,3,"balanced","exponential","heterogeneous",1,0.8593,0.9848,0.280050110304291,0.367503287742301,0.252633706389106
10,3,"balanced","exponential","heterogeneous",1,0.9848,0.9998,0.280049491787324,0.367511240615523,0.278450700303511
5,5,"balanced","exponential","heterogeneous",0.0396,0.4161,0.5686,0.280052550143513,0.367508076165018,0.232563547989488
6,5,"balanced","exponential","heterogeneous",0.7274,0.6446,0.881,0.280043194740371,0.367504835807787,0.259922543082162
8,5,"balanced","exponential","heterogeneous",1,0.9358,0.9982,0.280049627790037,0.36746938149919,0.308756329504755
10,5,"balanced","exponential","heterogeneous",1,0.995,1,0.280047610525375,0.367493915213034,0.352858151023289
5,8,"balanced","exponential","heterogeneous",0.4092,0.6044,0.7852,0.280049190892345,0.367496789298755,0.271643169532502
6,8,"balanced","exponential","heterogeneous",0.9795,0.8123,0.9764,0.280045722102337,0.367501323051713,0.318319274232055
8,8,"balanced","exponential","heterogeneous",1,0.9832,1,0.280045385635189,0.367507711963871,0.383083052405762
10,8,"balanced","exponential","heterogeneous",1,0.9993,1,0.280056156493806,0.367507558467161,0.431536702196522
5,3,"unbalanced","exponential","heterogeneous",0,0.4058,0.4828,0.280055670069025,0.367492475846547,0.204482250940618
6,3,"unbalanced","exponential","heterogeneous",0.4439,0.5786,0.764,0.2800473095712,0.367505519024466,0.225392746861406
8,3,"unbalanced","exponential","heterogeneous",1,0.8999,0.9884,0.280054864677786,0.367510486766122,0.258144457638495
10,3,"unbalanced","exponential","heterogeneous",1,0.9968,0.9998,0.280046244344458,0.367507877230795,0.285143997718848
5,5,"unbalanced","exponential","heterogeneous",0.0371,0.4867,0.6103,0.280046147023005,0.367511450356021,0.250294095562286
6,5,"unbalanced","exponential","heterogeneous",0.721,0.6875,0.8949,0.280048287748813,0.36750518069575,0.282103362672083
8,5,"unbalanced","exponential","heterogeneous",1,0.9451,0.9984,0.28004333880113,0.367507408466217,0.31750063500127
10,5,"unbalanced","exponential","heterogeneous",1,0.9959,0.9999,0.280059915579601,0.367503270153633,0.358834505526051
5,8,"unbalanced","exponential","heterogeneous",0.3957,0.6389,0.7976,0.280044602427071,0.367501599027442,0.280198380453361
6,8,"unbalanced","exponential","heterogeneous",0.9778,0.8348,0.9763,0.280048608773027,0.367510654175464,0.328893274132544
8,8,"unbalanced","exponential","heterogeneous",1,0.9851,0.9998,0.280044647926639,0.367500461026593,0.395491398062092
10,8,"unbalanced","exponential","heterogeneous",1,0.9996,1,0.280050524685518,0.367481370404541,0.425495702493405
5,3,"balanced","lognormal","heterogeneous",0,0.038,0.2786,0.280044307581864,0.367506916904407,0.129718510831496
6,3,"balanced","lognormal","heterogeneous",0.3286,0.0985,0.3856,0.280043911045667,0.367511213078103,0.0991817505578974
8,3,"balanced","lognormal","heterogeneous",1,0.3314,0.6364,0.280046230687558,0.367476857260812,0.061831829789339
10,3,"balanced","lognormal","heterogeneous",1,0.6963,0.795,0.280043184237328,0.367494823355656,0.0374523418949387
5,5,"balanced","lognormal","heterogeneous",0.0225,0.0594,0.2703,0.280067114559843,0.36750357793883,0.156867666436594
6,5,"balanced","lognormal","heterogeneous",0.5842,0.1338,0.419,0.280051773897002,0.367453967708985,0.114375907858769
8,5,"balanced","lognormal","heterogeneous",1,0.4036,0.6591,0.28004989185088,0.367499483240218,0.0635307870193896
10,5,"balanced","lognormal","heterogeneous",1,0.682,0.8101,0.280046464000893,0.367474536246368,0.034793742693314
5,8,"balanced","lognormal","heterogeneous",0.2651,0.1129,0.3196,0.280048786974451,0.36749891149063,0.173163171656652
6,8,"balanced","lognormal","heterogeneous",0.954,0.2161,0.4756,0.280055822187146,0.367491196972331,0.120410841792195
8,8,"balanced","lognormal","heterogeneous",1,0.5203,0.7224,0.280048013082012,0.367464320428734,0.0555096059373075
10,8,"balanced","lognormal","heterogeneous",1,0.7692,0.863,0.280043578601243,0.367451420709864,0.0259096891873685
5,3,"unbalanced","lognormal","heterogeneous",0,0.0909,0.2929,0.280045303772457,0.36749499631456,0.0885975015504563
6,3,"unbalanced","lognormal","heterogeneous",0.3041,0.173,0.4352,0.280045739434127,0.367483819242825,0.0696524343525806
8,3,"unbalanced","lognormal","heterogeneous",1,0.4978,0.6822,0.280046065933683,0.367477219643023,0.0425446825528511
10,3,"unbalanced","lognormal","heterogeneous",1,0.8687,0.832,0.280044921094157,0.367492242630685,0.025462656468024
5,5,"unbalanced","lognormal","heterogeneous",0.0226,0.0943,0.284,0.280043086866345,0.367506295250635,0.121626388061154
6,5,"unbalanced","lognormal","heterogeneous",0.5678,0.1906,0.4402,0.280044252659415,0.367504740488662,0.0870799481003509
8,5,"unbalanced","lognormal","heterogeneous",1,0.4767,0.6747,0.280043100930049,0.367493216755377,0.0473097320849872
10,5,"unbalanced","lognormal","heterogeneous",1,0.7331,0.83,0.280046301689458,0.367500921304594,0.0261611632299619
5,8,"unbalanced","lognormal","heterogeneous",0.2479,0.1406,0.3322,0.28004853101339,0.367492204939022,0.147588405454867
6,8,"unbalanced","lognormal","heterogeneous",0.9497,0.2529,0.4976,0.28005952006825,0.367509731515584,0.0970270899635178
8,8,"unbalanced","lognormal","heterogeneous",1,0.5669,0.7232,0.280044258851652,0.367503720087747,0.0443107245246567
10,8,"unbalanced","lognormal","heterogeneous",1,0.7972,0.8736,0.280046494824305,0.367509253560391,0.0204502741359248
5,3,"balanced","poisson","heterogeneous",0,NA,0.0345,0.280293757649939,0.367469879518072,0.0944929508258684
6,3,"balanced","poisson","heterogeneous",0.3467,NA,0.2519,0.280084447572132,0.367485182049111,0.0771063527924066
8,3,"balanced","poisson","heterogeneous",1,0.8575,0.9319,0.280096308186196,0.3675,0.0462504740673592
10,3,"balanced","poisson","heterogeneous",1,0.9959,0.9978,0.280044101433296,0.367504835589942,0.0267538485411126
5,5,"balanced","poisson","heterogeneous",0.0234,NA,0.0536,0.280045351473923,0.367509986684421,0.120235661897319
