"n","k","balance","dist","var_type","power_anova","power_welch","power_kw","eta_min","eta_max","acceptance_rate"
10,3,"unbalanced","lognormal","homogeneous",1,0.9479,0.9895,0.280047295157512,0.367511280981422,0.127422622612419
5,5,"unbalanced","lognormal","homogeneous",0.0269,0.3028,0.516,0.280043576823796,0.367509673760708,0.225804994806485
6,5,"unbalanced","lognormal","homogeneous",0.6332,0.4835,0.7655,0.280043336687936,0.367508509644717,0.206949359491732
8,5,"unbalanced","lognormal","homogeneous",1,0.7758,0.9581,0.280044546330046,0.367486084784843,0.175669740887132
10,5,"unbalanced","lognormal","homogeneous",1,0.9203,0.9939,0.280047409788236,0.367507023091214,0.140654889163947
5,8,"unbalanced","lognormal","homogeneous",0.3017,0.433,0.6598,0.280048024386239,0.367507358980248,0.282190930383497
6,8,"unbalanced","lognormal","homogeneous",0.9665,0.6214,0.8739,0.280048460826633,0.367497607544322,0.249444984908578
8,8,"unbalanced","lognormal","homogeneous",1,0.8825,0.9856,0.280054719668909,0.367455506732941,0.190070706302745
10,8,"unbalanced","lognormal","homogeneous",1,0.9672,0.9988,0.280043214267154,0.367506176790505,0.141109402119463
5,3,"balanced","negbin","heterogeneous",0,0.0861234368697055,0.1179,0.280091708062667,0.3675,0.0752949680372861
6,3,"balanced","negbin","heterogeneous",0.3267,0.257045431752081,0.3125,0.280045784051889,0.367478180983004,0.0522310492695488
8,3,"balanced","negbin","heterogeneous",1,0.565713142628526,0.7377,0.280063570545647,0.367469879518072,0.022568218081205
10,3,"balanced","negbin","heterogeneous",1,0.883,0.9352,0.280044427989633,0.367498376773954,0.00974676918968285
5,5,"balanced","negbin","heterogeneous",0.0206,0.159458367016977,0.126,0.280057595392369,0.367510996511452,0.0900860321607135
6,5,"balanced","negbin","heterogeneous",0.5615,0.293290478103656,0.3265,0.28005115089514,0.3675111263266,0.053199412678484
8,5,"balanced","negbin","heterogeneous",1,0.575860688550841,0.7388,0.28004517842425,0.367481484652597,0.0168221594942586
10,5,"balanced","negbin","heterogeneous",1,0.7815,0.9057,0.280043128798274,0.367485902755612,0.00502485797238941
5,8,"balanced","negbin","heterogeneous",0.223,0.24773905090946,0.1623,0.280043501903208,0.367502182316997,0.0935576221394757
6,8,"balanced","negbin","heterogeneous",0.9444,0.38574297188755,0.4051,0.280044717719396,0.367504873678199,0.0456625174659129
8,8,"balanced","negbin","heterogeneous",1,0.61628488546564,0.7581,0.280048076923077,0.36738994247964,0.0090006570479645
10,8,"balanced","negbin","heterogeneous",1,0.78886872353297,0.91023469634648,0.280044973368524,0.367454399932601,0.0016532
5,3,"unbalanced","negbin","heterogeneous",0,0.101937316157825,0.1229,0.280054644808743,0.367506117455139,0.0752671985548698
6,3,"unbalanced","negbin","heterogeneous",0.3183,0.245355026614442,0.3034,0.280049674284843,0.367483199653154,0.0520318434882148
8,3,"unbalanced","negbin","heterogeneous",1,0.561068320496149,0.727,0.280046754675468,0.36748147238259,0.0230570939761036
10,3,"unbalanced","negbin","heterogeneous",1,0.855585558555856,0.9252,0.280044756089608,0.367493112947658,0.00972888515732094
5,5,"unbalanced","negbin","heterogeneous",0.0219,0.162321193060769,0.1192,0.280049980205859,0.367496631140512,0.0924530569603284
6,5,"unbalanced","negbin","heterogeneous",0.5696,0.285484519501407,0.3309,0.280046800318641,0.367504064781458,0.0537163668398124
8,5,"unbalanced","negbin","heterogeneous",1,0.56648324162081,0.718,0.280043866487874,0.367482596342413,0.0167124867344637
10,5,"unbalanced","negbin","heterogeneous",1,0.7727,0.9,0.280044015930087,0.367395378559653,0.00510618307708805
5,8,"unbalanced","negbin","heterogeneous",0.2295,0.247427931139859,0.1627,0.280045942011566,0.367494824016563,0.0930968672904157
6,8,"unbalanced","negbin","heterogeneous",0.9456,0.378427237119614,0.3972,0.280044344116773,0.367440966633836,0.046189803139059
8,8,"unbalanced","negbin","heterogeneous",1,0.613145258103241,0.7549,0.280044965438224,0.367392161042956,0.00878488367496282
10,8,"unbalanced","negbin","heterogeneous",1,0.783805762081784,0.907411710037175,0.28004565702974,0.367466561085195,0.0017216
5,3,"balanced","negbin","homogeneous",0,0.085760354731432,0.1216,0.280082276311279,0.367469879518072,0.0763213127265789
6,3,"balanced","negbin","homogeneous",0.322,0.255161354980958,0.2965,0.280051701852649,0.367497691597414,0.0512072099751645
8,3,"balanced","negbin","homogeneous",1,0.561112222444489,0.738,0.280045351473923,0.367508366291451,0.0228575085772801
10,3,"balanced","negbin","homogeneous",1,0.88018801880188,0.9275,0.28005170185265,0.367485182049111,0.00972998323523889
5,5,"balanced","negbin","homogeneous",0.0216,0.168793033616849,0.1264,0.280060309084056,0.3675,0.0921310841064667
6,5,"balanced","negbin","homogeneous",0.5685,0.293509880629953,0.3315,0.280050083472454,0.367467190429426,0.0533037675102876
8,5,"balanced","negbin","homogeneous",1,0.575872761828549,0.7328,0.280046169383927,0.367483497603762,0.0167698290651323
10,5,"balanced","negbin","homogeneous",1,0.784378437843784,0.9128,0.280052189754068,0.367506426735218,0.00503278355205811
5,8,"balanced","negbin","homogeneous",0.2211,0.246962332928311,0.1595,0.280046674445741,0.367457751204929,0.0946853133610446
6,8,"balanced","negbin","homogeneous",0.9465,0.375313849553078,0.3962,0.280047469397622,0.367511057498995,0.0451640584422916
8,8,"balanced","negbin","homogeneous",1,0.620696557245797,0.7604,0.280046674445741,0.367489138453972,0.00895661683503614
10,8,"balanced","negbin","homogeneous",1,0.792423518164436,0.910981001314374,0.280043192861811,0.367486556743212,0.0016738
5,3,"unbalanced","negbin","homogeneous",0,0.106313975879193,0.1169,0.280044812601847,0.367482517482517,0.0755269895697227
6,3,"unbalanced","negbin","homogeneous",0.334,0.245277331189711,0.3038,0.280054857142857,0.367495361781076,0.0511977718729681
8,3,"unbalanced","negbin","homogeneous",1,0.563781890945473,0.733,0.280043589691845,0.367486197377502,0.0227164307943936
10,3,"unbalanced","negbin","homogeneous",1,0.855671134226845,0.9227,0.280046894512832,0.367511303985955,0.00975916336644292
5,5,"unbalanced","negbin","homogeneous",0.0232,0.161522842639594,0.1202,0.280057428677288,0.367454531201003,0.089735191450031
6,5,"unbalanced","negbin","homogeneous",0.5564,0.29471463022508,0.3363,0.280044559723331,0.367462081430281,0.0535727678906258
8,5,"unbalanced","negbin","homogeneous",1,0.564194936455519,0.729,0.280044747346087,0.367505258694599,0.0168538284313973
10,5,"unbalanced","negbin","homogeneous",1,0.776977697769777,0.9081,0.280047735753699,0.36750470935493,0.00515792003779724
5,8,"unbalanced","negbin","homogeneous",0.2155,0.244399185336049,0.1594,0.280048076923077,0.367498227293238,0.0947660699563128
6,8,"unbalanced","negbin","homogeneous",0.9482,0.390775723472669,0.4095,0.280048684010345,0.367478876007074,0.044634886627388
8,8,"unbalanced","negbin","homogeneous",1,0.613345338135254,0.7609,0.280045104784008,0.367485788900124,0.00899190009639317
10,8,"unbalanced","negbin","homogeneous",1,0.785363516588813,0.911845730027548,0.280044829751249,0.367440399468724,0.0016698
5,3,"balanced","normal","heterogeneous",0,0.1292,0.0791,0.280055187557644,0.367496450502799,0.135793919148301
6,3,"balanced","normal","heterogeneous",0.3877,0.3473,0.2595,0.280063120429634,0.36749186220451,0.133671968988103
8,3,"balanced","normal","heterogeneous",1,0.8086,0.8343,0.280046175071429,0.367507133781336,0.122177695239957
10,3,"balanced","normal","heterogeneous",1,0.9875,0.9818,0.280046305450673,0.367511466207562,0.112017205842817
5,5,"balanced","normal","heterogeneous",0.0304,0.2243,0.0854,0.280068300843788,0.367509956894104,0.195038227492589
6,5,"balanced","normal","heterogeneous",0.642,0.4407,0.4139,0.2800460644036,0.367506925340303,0.183658102077173
8,5,"balanced","normal","heterogeneous",1,0.8837,0.9359,0.280045625336703,0.367509799928604,0.154552339149653
10,5,"balanced","normal","heterogeneous",1,0.9906,0.9969,0.280052012266847,0.367511374865983,0.125093820365274
5,8,"balanced","normal","heterogeneous",0.3132,0.3319,0.1745,0.280044527683386,0.367509147445898,0.255676007363469
6,8,"balanced","normal","heterogeneous",0.9641,0.6066,0.6361,0.280046173394963,0.367472758473171,0.227319224386806
8,8,"balanced","normal","heterogeneous",1,0.9625,0.9906,0.280046235785226,0.367508116998477,0.167734576805663
10,8,"balanced","normal","heterogeneous",1,0.9988,0.9998,0.280043972406166,0.367497577331084,0.115886940700652
5,3,"unbalanced","normal","heterogeneous",0,0.2219,0.0682,0.280048718822156,0.367498863222269,0.12986507019207
6,3,"unbalanced","normal","heterogeneous",0.3832,0.4285,0.2996,0.280043406832355,0.367492679870814,0.125434316320259
8,3,"unbalanced","normal","heterogeneous",1,0.8784,0.8774,0.280045663958561,0.367487565358008,0.113853720739594
10,3,"unbalanced","normal","heterogeneous",1,0.9982,0.9881,0.280048582724463,0.367506170874268,0.0998731610854215
5,5,"unbalanced","normal","heterogeneous",0.0324,0.2484,0.085,0.280049074454459,0.367510359720662,0.184610840348545
6,5,"unbalanced","normal","heterogeneous",0.6369,0.4787,0.4321,0.280045158323563,0.367474944085351,0.173241169031409
8,5,"unbalanced","normal","heterogeneous",1,0.9071,0.9479,0.280043125373306,0.367471622578132,0.14145071856965
10,5,"unbalanced","normal","heterogeneous",1,0.9933,0.9974,0.28005045889881,0.367500028486982,0.114213922677174
5,8,"unbalanced","normal","heterogeneous",0.3092,0.3704,0.1839,0.280043835194027,0.367505494706294,0.244391221467325
6,8,"unbalanced","normal","heterogeneous",0.962,0.6256,0.6592,0.280044052526639,0.367460736704088,0.218388294387421
8,8,"unbalanced","normal","heterogeneous",1,0.9662,0.9872,0.280047911870296,0.367498037461578,0.159721445798527
10,8,"unbalanced","normal","heterogeneous",1,0.9991,0.9998,0.280046952588743,0.367507512333364,0.111333778668448
5,3,"balanced","normal","homogeneous",0,0.0848,0.0586,0.280055362848056,0.367509408022372,0.173577962541876
6,3,"balanced","normal","homogeneous",0.4322,0.3186,0.2588,0.280065304427832,0.367493318018303,0.191127845415799
8,3,"balanced","normal","homogeneous",1,0.8886,0.8986,0.280043768675493,0.367509104443454,0.218045440669836
10,3,"balanced","normal","homogeneous",1,0.9994,0.9973,0.280043469751994,0.367498193095621,0.243214320459189
5,5,"balanced","normal","homogeneous",0.0364,0.1883,0.0651,0.280045533105319,0.367506631196706,0.225362269848782
6,5,"balanced","normal","homogeneous",0.7107,0.4247,0.4405,0.280045584908875,0.367509080391799,0.254517688979384
8,5,"balanced","normal","homogeneous",1,0.9336,0.9791,0.280059955119459,0.367490111627339,0.294533459000943
10,5,"balanced","normal","homogeneous",1,0.9996,0.9998,0.280062001205036,0.367501967483506,0.317168321228076
